"TimeSpan","BlueTeam.min","RedTeam.min","OppositeTeam.min","BlueTeam.median","RedTeam.median","OppositeTeam.median","BlueTeam.max","RedTeam.max","OppositeTeam.max"
89,8.6,32.8,14.7,32.55,67.05,53.1,50.3,124.9,88.6
90,8,26.6,17.4,33,67,52.2,50.3,124.6,89.9
91,6,20.6,20.2,32.45,82.4,57,52.8,124.3,118.7
92,3.3,16.3,16.2,32.25,81.25,60.4,61.7,126.4,111.8
93,9.6,17,19,35.35,82.35,62.2,70.6,130.2,107.1
94,12.9,17.5,18.2,39.8,83.45,66.5,79.5,131.1,113
95,9.6,13.4,13,44.1,81.1,65,87.9,128.2,115.8
96,3.6,9.3,8.5,47.15,77.3,63.2,96.5,127.8,119.3
97,3.6,7.7,6.4,52.8,74.6,60.5,105.3,127.6,123
98,5.8,4.3,10.4,57.6,73.05,66.3,113.7,128.6,126.9
99,3.5,4.3,11.7,59.75,71,64.9,119,128.7,128.1
100,3.5,5.2,8.5,62.4,68.3,62.9,124,128.7,128.4
101,4.2,2,7.2,59.3,66.3,60.5,121,126.3,125.1
102,7.1,2.2,3.6,60.45,64.35,64.4,124.2,125.9,125.9
103,5.1,5.5,2.8,63.65,65.55,64.2,127.4,129.3,131
104,5.1,4.5,3,64.25,66,64,129.8,129.1,132.1
105,6.4,3.6,4.1,62.75,64.8,63,130,129.2,130.5
106,6.1,3,3.6,64.2,63.1,62.6,130,128.9,131.4
107,7.5,3.6,2.2,61.85,65.15,63.6,130.9,130.9,131.6
108,10.4,3.2,2.2,61.85,66.65,63.3,131.8,131,131.7
109,6.7,3,3,62.2,67,63.05,129.6,131.1,130.8
110,8.1,3,2,60.8,68.95,63.1,128.6,133.2,131.2
111,9.8,1.1,10.1,53.45,67.65,61.15,68.1,132.6,127.6
112,7.9,4.2,10.1,54.1,67.25,62.25,67.7,132,126.9
113,7.2,3.2,11.7,55.25,65.4,60.95,68.1,129.1,125.2
